PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
1029, 156211711, -0.14597344398498535, 0.6846805214881897, 0.05635587498545647, 0.7118486166000366, 10.206908226013184, -2.270122766494751, -0.031523190438747406, -5.1286234855651855, 7.607480049133301, 0.502935528755188, 
1030, 156220044, -0.1459660530090332, 0.6840984225273132, 0.05627567693591118, 0.7124159336090088, 10.259783744812012, -2.491450309753418, -0.06861711293458939, -0.2528509497642517, 10.261242866516113, -0.5649091601371765, 
1031, 156228377, -0.14617104828357697, 0.6832983493804932, 0.05642131343483925, 0.7131297588348389, 10.156059265136719, -2.5982210636138916, 0.12426850199699402, 4.3336992263793945, 13.490021705627441, -0.8138540983200073, 
1032, 156236710, -0.14660315215587616, 0.6824224591255188, 0.056760579347610474, 0.7138525247573853, 10.014241218566895, -2.5736122131347656, 0.49693888425827026, 8.460665702819824, 14.100717544555664, -0.7413914203643799, 
1033, 156245043, -0.1471937596797943, 0.6815106868743896, 0.05728910118341446, 0.7145595550537109, 9.890594482421875, -2.4182302951812744, 0.8415542840957642, 11.939912796020508, 14.069506645202637, -0.7347188591957092, 
1034, 156253376, -0.14790281653404236, 0.6806241869926453, 0.05792045593261719, 0.7152069211006165, 9.751910209655762, -2.028204917907715, 0.8833869695663452, 14.005895614624023, 13.12350845336914, -0.6176875233650208, 
1035, 156261709, -0.1486545205116272, 0.6797887682914734, 0.05863194167613983, 0.7157874703407288, 9.530738830566406, -1.6726266145706177, 1.0672985315322876, 15.185479164123535, 11.89492130279541, -0.5853750705718994, 
1036, 156270042, -0.1494237780570984, 0.6789993047714233, 0.059339817613363266, 0.7163180708885193, 9.206092834472656, -1.4984546899795532, 1.242092490196228, 15.217728614807129, 10.970375061035156, -0.4245944917201996, 
1037, 156278375, -0.1501474529504776, 0.6783409714698792, 0.06006089597940445, 0.7167302370071411, 8.98841667175293, -1.4092881679534912, 1.3069982528686523, 14.786176681518555, 8.526339530944824, -0.48281562328338623, 
1038, 156286708, -0.15078847110271454, 0.6778703927993774, 0.06077112630009651, 0.7169809341430664, 9.04992389678955, -1.2804087400436401, 1.3069671392440796, 13.617655754089355, 5.104763507843018, -0.8719470500946045, 
1039, 156295041, -0.15129022300243378, 0.677509069442749, 0.061459943652153015, 0.7171580195426941, 9.20284652709961, -1.2204113006591797, 1.190177321434021, 11.969456672668457, 3.274216651916504, -1.649672269821167, 
1040, 156303374, -0.151698037981987, 0.6771446466445923, 0.06212305650115013, 0.7173590064048767, 9.263303756713867, -1.0142414569854736, 1.1356534957885742, 10.801523208618164, 3.4965734481811523, -2.53979229927063, 
1041, 156311707, -0.1519864797592163, 0.6767359972000122, 0.06278430670499802, 0.7176257967948914, 9.335616111755371, -0.8510914444923401, 0.9679648876190186, 9.728338241577148, 4.437717914581299, -3.7324938774108887, 
1042, 156320040, -0.15218959748744965, 0.6762771010398865, 0.06344231963157654, 0.7179574370384216, 9.32020092010498, -0.7179633378982544, 0.8310295343399048, 8.92943000793457, 5.481958389282227, -4.866513252258301, 
1043, 156328373, -0.1523246169090271, 0.6758065223693848, 0.06412056088447571, 0.7183115482330322, 9.218448638916016, -0.7467138171195984, 0.8675004243850708, 8.519089698791504, 5.683286666870117, -5.63668155670166, 
1044, 156336706, -0.15240764617919922, 0.6753122210502625, 0.06481277942657471, 0.7186965346336365, 9.101171493530273, -0.8002262115478516, 0.9509791731834412, 8.178343772888184, 6.148902416229248, -6.513943672180176, 
1045, 156345039, -0.1524873971939087, 0.6748369932174683, 0.06554300338029861, 0.7190597057342529, 9.185702323913574, -0.8796393871307373, 0.7620035409927368, 8.520242691040039, 5.653164386749268, -6.68176794052124, 
1046, 156353372, -0.15265336632728577, 0.6742517948150635, 0.06628625839948654, 0.7195051312446594, 9.280430793762207, -1.0103892087936401, 0.8522444367408752, 9.588510513305664, 7.577254772186279, -6.375831604003906, 
