PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
19, 42257382, 0.8968605399131775, -0.004430805798619986, -0.27003565430641174, 0.35028934478759766, 4.936291217803955, -2.0254204273223877, 8.803826332092285, 0.9130065441131592, 0.060974687337875366, 0.14511744678020477, 0.006591796875, 0.6015625, -0.814697265625, 
20, 42265715, 0.8968830704689026, -0.004393060225993395, -0.26993393898010254, 0.3503107726573944, 4.919854164123535, -2.0226595401763916, 8.723535537719727, 1.0361852645874023, 1.1557013988494873, 0.022630175575613976, 0.005126953125, 0.6044921875, -0.814697265625, 
21, 42274048, 0.8969606161117554, -0.0046010916121304035, -0.2698439955711365, 0.35017842054367065, 4.940434455871582, -2.0091710090637207, 8.766217231750488, 0.8582945466041565, 1.4868165254592896, -0.23531797528266907, 0.005615234375, 0.60693359375, -0.814208984375, 
22, 42282381, 0.8969666957855225, -0.004607971291989088, -0.26980119943618774, 0.35019582509994507, 4.980674743652344, -2.011136293411255, 8.731611251831055, 0.185856893658638, 0.5819041728973389, 0.2142118364572525, 0.007080078125, 0.60205078125, -0.812255859375, 
23, 42290714, 0.8971019387245178, -0.004892807453870773, -0.26978740096092224, 0.3498556613922119, 4.926756858825684, -2.065977096557617, 8.671670913696289, 0.23164232075214386, 0.5425479412078857, 0.2552586495876312, 0.009033203125, 0.607421875, -0.817138671875, 
24, 42299047, 0.8971158266067505, -0.004868402611464262, -0.2696974277496338, 0.34988975524902344, 4.91681432723999, -2.082357168197632, 8.657485961914062, 0.8619318008422852, 1.0415387153625488, 0.2701917588710785, 0.008544921875, 0.6044921875, -0.813720703125, 
25, 42307380, 0.8971909880638123, -0.004977418575435877, -0.2695732116699219, 0.3497913181781769, 4.969498157501221, -2.0239076614379883, 8.699527740478516, 1.9485900402069092, 1.9069157838821411, 0.2409915179014206, 0.003662109375, 0.607421875, -0.818115234375, 
26, 42315713, 0.8972176909446716, -0.004892493598163128, -0.26938948035240173, 0.34986555576324463, 4.933170318603516, -2.000443458557129, 8.775110244750977, 2.2089333534240723, 1.9527909755706787, 0.48719552159309387, 0.005615234375, 0.60791015625, -0.813720703125, 
27, 42324046, 0.8973120450973511, -0.005041570868343115, -0.26933592557907104, 0.3496629595756531, 4.916369438171387, -2.000417709350586, 8.754768371582031, 1.4421838521957397, 1.3132929801940918, 0.577191174030304, 0.004150390625, 0.60693359375, -0.813720703125, 
28, 42332379, 0.8973374366760254, -0.0049757203087210655, -0.26920053362846375, 0.3497030735015869, 4.888910293579102, -2.0371909141540527, 8.75065803527832, 1.6152976751327515, 1.444962978363037, 0.13953353464603424, 0.005615234375, 0.6083984375, -0.814208984375, 
29, 42340712, 0.8974771499633789, -0.0050554173067212105, -0.26912209391593933, 0.349403440952301, 4.9440999031066895, -2.0223636627197266, 8.724853515625, 1.6598410606384277, 1.1982723474502563, -0.24187523126602173, 0.004150390625, 0.60546875, -0.815673828125, 
30, 42349045, 0.8974915146827698, -0.004977926146239042, -0.26902514696121216, 0.3494423031806946, 4.950087070465088, -2.005436897277832, 8.698760032653809, 1.5667588710784912, 0.8745852708816528, 0.13077348470687866, 0.003662109375, 0.607421875, -0.817626953125, 
31, 42357378, 0.8976044058799744, -0.004994750022888184, -0.26885780692100525, 0.34928098320961, 4.947001934051514, -1.9837309122085571, 8.676058769226074, 2.782743215560913, 2.0979726314544678, 0.5469536781311035, 0.001708984375, 0.609375, -0.815673828125, 
32, 42365711, 0.8976410031318665, -0.004889168776571751, -0.2686035931110382, 0.34938403964042664, 4.95766019821167, -1.9835269451141357, 8.805182456970215, 2.9081246852874756, 2.758793830871582, 0.7259970307350159, 0.005126953125, 0.6103515625, -0.816650390625, 
