PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
10, 2901114012, 0.04176957532763481, -0.6861363649368286, -0.033648401498794556, -0.7254929542541504, 0.08175158500671387, -0.0005170106887817383, 0.004451632499694824, 9.810545921325684, -0.06374263018369675, 0.534684419631958, 1.0227123498916626, 0.3801792860031128, 1.4623806476593018, -0.548095703125, -0.597900390625, 0.06298828125, 
11, 2901122345, 0.04187353700399399, -0.6860432028770447, -0.03374022990465164, -0.7255708575248718, 0.08190369606018066, -0.0005645155906677246, 0.0045479536056518555, 9.828792572021484, -0.06956394761800766, 0.5463111400604248, 0.9244048595428467, 0.39667484164237976, 1.4229602813720703, -0.548583984375, -0.599853515625, 0.06201171875, 
12, 2901130678, 0.041999127715826035, -0.686019778251648, -0.03371865674853325, -0.7255867719650269, 0.08175009489059448, -0.0007173418998718262, 0.004781782627105713, 9.810354232788086, -0.08780600875616074, 0.5744137763977051, 0.9753004312515259, 0.4539738595485687, 1.4377143383026123, -0.548095703125, -0.599365234375, 0.06396484375, 
13, 2901139011, 0.0420398972928524, -0.6859784722328186, -0.0337437279522419, -0.725622296333313, 0.08188736438751221, -0.000719606876373291, 0.004436492919921875, 9.826821327209473, -0.08807507902383804, 0.5331306457519531, 0.9328832626342773, 0.5704161524772644, 1.412970781326294, -0.547607421875, -0.598388671875, 0.0595703125, 
14, 2901147344, 0.042161062359809875, -0.6859459280967712, -0.03372159227728844, -0.7256470322608948, 0.08187150955200195, -0.0007355213165283203, 0.004534900188446045, 9.824913024902344, -0.08995664864778519, 0.5450124144554138, 0.9297071099281311, 0.6261272430419922, 1.3883044719696045, -0.547119140625, -0.598876953125, 0.060546875, 
15, 2901155677, 0.04207602143287659, -0.6859142184257507, -0.0335661880671978, -0.7256892323493958, 0.0817645788192749, -0.0005369186401367188, 0.00475543737411499, 9.812085151672363, -0.06601027399301529, 0.5714846849441528, 1.0051922798156738, 0.6735391020774841, 1.3833863735198975, -0.546630859375, -0.597900390625, 0.06103515625, 
16, 2901164010, 0.04220244660973549, -0.6858848333358765, -0.03354242444038391, -0.7257108092308044, 0.08184069395065308, -0.00043070316314697266, 0.004839599132537842, 9.821227073669434, -0.05335668846964836, 0.5814575552940369, 0.9623396992683411, 0.5687768459320068, 1.460561990737915, -0.548095703125, -0.599365234375, 0.0615234375, 
17, 2901172343, 0.04223645105957985, -0.6858637928962708, -0.03349248692393303, -0.7257309556007385, 0.08165699243545532, -0.0004928708076477051, 0.004709005355834961, 9.799185752868652, -0.06098978966474533, 0.5656511187553406, 0.903016984462738, 0.39670050144195557, 1.4066184759140015, -0.546142578125, -0.596923828125, 0.06396484375, 
18, 2901180676, 0.04235892370343208, -0.6858434677124023, -0.03346462920308113, -0.725744366645813, 0.08177816867828369, -0.0006315112113952637, 0.004729568958282471, 9.813727378845215, -0.0776267871260643, 0.5681026577949524, 0.8816547393798828, 0.4017464220523834, 1.4672729969024658, -0.547119140625, -0.597900390625, 0.06103515625, 
19, 2901189009, 0.042562104761600494, -0.6857956647872925, -0.033616598695516586, -0.7257704734802246, 0.08191484212875366, -0.0007099509239196777, 0.004734814167022705, 9.830116271972656, -0.08693579584360123, 0.5689184665679932, 0.9689224362373352, 0.5045875906944275, 1.2983214855194092, -0.548095703125, -0.596435546875, 0.0615234375, 
