PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
10, 2884854213, 0.545473575592041, -0.5229316353797913, 0.4532226324081421, -0.47285351157188416, 0.00026351213455200195, -0.08221036195755005, 0.0032407045364379883, 0.0296743493527174, -9.86559772491455, 0.3900928199291229, 0.8622903823852539, 0.4983120858669281, 1.391710877418518, -0.424560546875, 0.70166015625, 0.054931640625, 
11, 2884862546, 0.5454967021942139, -0.5229288339614868, 0.4532117545604706, -0.4728403389453888, 0.00020015239715576172, -0.0823773741722107, 0.003525972366333008, 0.022106634452939034, -9.88563060760498, 0.4243732988834381, 0.9130834937095642, 0.4703670144081116, 1.3901231288909912, -0.425048828125, 0.6962890625, 0.052490234375, 
12, 2884870879, 0.5455608367919922, -0.5228316187858582, 0.4532544016838074, -0.47283294796943665, 0.00012260675430297852, -0.08231592178344727, 0.003368854522705078, 0.012764827348291874, -9.878256797790527, 0.4054814875125885, 0.8672340512275696, 0.4999258816242218, 1.385128378868103, -0.4189453125, 0.69580078125, 0.0498046875, 
13, 2884879212, 0.5456051230430603, -0.5228660106658936, 0.45320090651512146, -0.4727952182292938, -7.152557373046875e-7, -0.08226972818374634, 0.0032570362091064453, -0.002025267342105508, -9.872711181640625, 0.3921506106853485, 0.9146459102630615, 0.43425092101097107, 1.3573622703552246, -0.42236328125, 0.69970703125, 0.05126953125, 
14, 2884887545, 0.5456767678260803, -0.5227634310722351, 0.453241229057312, -0.4727873206138611, 0.00016570091247558594, -0.08234637975692749, 0.0031919479370117188, 0.0180666483938694, -9.881916999816895, 0.3842526376247406, 0.973686695098877, 0.46539783477783203, 1.4541329145431519, -0.422607421875, 0.69921875, 0.05224609375, 
15, 2884895878, 0.5457096099853516, -0.5227590203285217, 0.4532460868358612, -0.47274959087371826, 0.0003306269645690918, -0.08240711688995361, 0.0034328699111938477, 0.037884537130594254, -9.889208793640137, 0.41307297348976135, 0.9393891096115112, 0.5638845562934875, 1.4932971000671387, -0.423828125, 0.69970703125, 0.048828125, 
16, 2884904211, 0.5457810759544373, -0.522654116153717, 0.45328864455223083, -0.4727422893047333, 0.00020623207092285156, -0.08222287893295288, 0.003550410270690918, 0.022963618859648705, -9.867094993591309, 0.427231103181839, 0.9786302447319031, 0.5031788349151611, 1.4802850484848022, -0.424072265625, 0.6982421875, 0.05078125, 
17, 2884912544, 0.5456761121749878, -0.5225382447242737, 0.453424870967865, -0.47286078333854675, 0.00011163949966430664, -0.08235996961593628, 0.003379344940185547, 0.011553294025361538, -9.883543968200684, 0.40673553943634033, 0.9523756504058838, 0.46872764825820923, 1.4475243091583252, -0.422119140625, 0.69921875, 0.052734375, 
18, 2884920877, 0.5457490682601929, -0.522441029548645, 0.4534609019756317, -0.47284942865371704, 0.00010955333709716797, -0.08225220441818237, 0.003588855266571045, 0.011245321482419968, -9.870607376098633, 0.4319327771663666, 0.9488921761512756, 0.36703917384147644, 1.4247277975082397, -0.4208984375, 0.6962890625, 0.0478515625, 
19, 2884929210, 0.5458643436431885, -0.5225178003311157, 0.4533572793006897, -0.4727310538291931, 0.0003820657730102539, -0.08234506845474243, 0.0034024715423583984, 0.043865494430065155, -9.88176155090332, 0.4095747470855713, 0.8883144855499268, 0.3917056620121002, 1.3836424350738525, -0.423828125, 0.701171875, 0.04736328125, 
20, 2884937543, 0.5459323525428772, -0.5224190354347229, 0.4534008800983429, -0.47271987795829773, 0.00030410289764404297, -0.08234411478042603, 0.003565669059753418, 0.0345669724047184, -9.881645202636719, 0.4290422797203064, 0.8753281235694885, 0.46562841534614563, 1.45566987991333, -0.423828125, 0.69921875, 0.04931640625, 
21, 2884945876, 0.5458052158355713, -0.5222597122192383, 0.4535590708255768, -0.4728909730911255, 0.00028693675994873047, -0.08226752281188965, 0.003514885902404785, 0.03443368524312973, -9.872495651245117, 0.42180296778678894, 0.8211283683776855, 0.3984166085720062, 1.3770596981048584, -0.421630859375, 0.69775390625, 0.0517578125, 
22, 2884954209, 0.5458757877349854, -0.5221567749977112, 0.4536009728908539, -0.4728831648826599, 0.00008672475814819336, -0.08243513107299805, 0.0032045841217041016, 0.008584701456129551, -9.892566680908203, 0.385746031999588, 0.9589841961860657, 0.486734539270401, 1.4622527360916138, -0.42041015625, 0.7001953125, 0.048828125, 
23, 2884962542, 0.5459541082382202, -0.5221843719482422, 0.45352983474731445, -0.47283026576042175, -0.000007033348083496094, -0.08235758543014526, 0.0033378005027770996, -0.0028293596114963293, -9.883257865905762, 0.4017016589641571, 0.8262767791748047, 0.5001051425933838, 1.4063880443572998, -0.422119140625, 0.7021484375, 0.052734375, 
24, 2884970875, 0.5460224151611328, -0.5220866799354553, 0.4535757303237915, -0.47281530499458313, 0.00020462274551391602, -0.08234286308288574, 0.003424346446990967, 0.022595539689064026, -9.88149642944336, 0.412017285823822, 0.8326035141944885, 0.446135938167572, 1.4949874877929688, -0.423828125, 0.6982421875, 0.04931640625, 
25, 2884979208, 0.5461449027061462, -0.5221471786499023, 0.45347630977630615, -0.47270235419273376, 0.00006490945816040039, -0.08226579427719116, 0.0033879876136779785, 0.00591567438095808, -9.872244834899902, 0.4077151417732239, 0.9049124717712402, 0.4901667833328247, 1.4671193361282349, -0.421630859375, 0.6962890625, 0.05029296875, 
26, 2884987541, 0.5462069511413574, -0.522051215171814, 0.45352017879486084, -0.47269466519355774, 0.00012350082397460938, -0.08223497867584229, 0.0034751296043395996, 0.012835046276450157, -9.868542671203613, 0.4182182252407074, 0.83291095495224, 0.5115034580230713, 1.3735506534576416, -0.421630859375, 0.69580078125, 0.0517578125, 
27, 2884995874, 0.5462349057197571, -0.5220187306404114, 0.4535309374332428, -0.472687691450119, 0.0002442002296447754, -0.08234375715255737, 0.00308912992477417, 0.027384035289287567, -9.881609916687012, 0.37180352210998535, 0.8540169596672058, 0.4837888777256012, 1.485100507736206, -0.421875, 0.69873046875, 0.0478515625, 
