sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2024-03-25_18:11:24_874 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
206,889963616,-0.614759,0.806889,120.344940,-0.002809,-0.009027,0.514838,0.847300,0.361389,1.299198
207,889980283,-0.614765,0.806438,120.346024,0.007498,-0.016296,0.521841,0.842203,0.417583,1.245654
208,889996950,-0.615604,0.805576,120.346375,-0.017702,-0.011427,0.532097,0.792450,0.392892,1.230466
209,890013617,-0.616102,0.805150,120.348221,-0.006581,-0.002104,0.538518,0.812313,0.418787,1.261893
210,890030284,-0.615962,0.805806,120.348915,0.001711,-0.016449,0.534967,0.850899,0.484112,1.241454
211,890046951,-0.615427,0.805692,120.351379,-0.008525,-0.002931,0.519563,0.874398,0.437676,1.246269
212,890063618,-0.614853,0.806363,120.353699,-0.010981,0.006205,0.522933,0.876050,0.484240,1.291693
213,890080285,-0.614419,0.805952,120.356392,-0.013467,-0.005146,0.524971,0.867508,0.419376,1.297238
214,890096952,-0.614867,0.805774,120.359070,-0.005364,-0.003159,0.529352,0.815156,0.433962,1.252916
215,890113619,-0.614002,0.805559,120.360779,-0.001698,-0.003301,0.515795,0.893198,0.431324,1.296470
216,890130286,-0.613930,0.805378,120.363533,-0.000880,-0.009304,0.513009,0.845686,0.433335,1.289286
217,890146953,-0.614669,0.804673,120.366127,-0.000301,-0.021272,0.530090,0.797868,0.402459,1.229672
218,890163620,-0.613455,0.804235,120.368149,-0.001706,-0.008908,0.495698,0.915468,0.418812,1.197644
219,890180287,-0.612742,0.802637,120.370094,-0.008469,-0.009484,0.511456,0.884413,0.348365,1.255272
220,890196954,-0.612098,0.802442,120.369713,0.006464,-0.001618,0.526585,0.880027,0.432432,1.270134
221,890213621,-0.612341,0.802471,120.370117,-0.007751,-0.002986,0.530233,0.827950,0.446807,1.195082
222,890230288,-0.612802,0.802384,120.375839,0.001477,-0.005888,0.529009,0.813504,0.438880,1.293768
223,890246955,-0.613970,0.801710,120.380226,0.000351,-0.008474,0.493932,0.771218,0.403675,1.282678
224,890263622,-0.614929,0.801238,120.382156,0.005660,-0.007479,0.515684,0.784088,0.415918,1.248024
225,890280289,-0.615488,0.800695,120.383858,0.002246,-0.016996,0.504482,0.807908,0.411602,1.265107
